,Link,Name,Categories
0,https://www.youtube.com/watch?v=YID36WfKzlE,Soundscapes — L’Indécis,"Chill, Quiet, Relaxing, Mellow, Slow, Minimal, Productive, Sleepy, Calm, Popular, Clubby, Electronic"
1,https://www.youtube.com/watch?v=_NNNgXoOdnA&ab_channel=ChillhopMusic,Playtime — L'Indécis,"Productive, Chill, Hip-hop, Funky, Catchy, Soulful"
2,https://www.youtube.com/watch?v=2SM_A6Wmx2I&list=RDYID36WfKzlE&index=3&ab_channel=Ikigai,Who Cares If You Exist — Peacock Affect,"Sad, Mellow, Melancholic, Lofi, City, Short"
3,https://www.youtube.com/watch?v=liHgt4CbodY&list=RDYID36WfKzlE&index=4&ab_channel=StaySee,Technicolor — kusasai,"Late night, Night life, Sleepy, Chill, Mellow, City, Calm, Relaxing, Lofi, In-the-zone"
4,https://www.youtube.com/watch?v=hC8CH0Z3L54&list=RDYID36WfKzlE&index=6&ab_channel=Fkj,Tadow — Fkj & Masego,"Jazzy, Chill, Calm, Popular, Cool, Clubby, Sexy"
5,https://www.youtube.com/watch?v=eZe4Q_58UTU&ab_channel=NomadicAmbience,Walking in the Rain in Manhattan — Nomadic Ambience,"Productive, Lively, Busy, Social, Alive, Surrounded, Real, Calm, In-the-zone"
6,https://www.youtube.com/watch?v=71O6E65YxM0&ab_channel=VectorsBearings,Busy Street,"Busy, Social, Surrounded, Alive, In-the-zone"
7,https://www.youtube.com/watch?v=BugT43SpG3g&ab_channel=VectorsBearingsVectorsBearings,Exotic Deep Jungle Ambience,"Exotic, Calm, Natural, Alive, Lively, In-the-zone"
8,https://www.youtube.com/watch?v=2dljZWZQLFQ&ab_channel=NaturesonicNaturesonic,Pine Forest Ambience,"Adventurous, Lively, Happy, Joyful, Calm, Relaxed"
9,https://www.youtube.com/watch?v=LNuGsjAr9aU&ab_channel=theknightlynews,Get to Sleep,"Sleepy, Calm"
10,https://www.youtube.com/watch?v=uSqbCnuHI6w&ab_channel=CryoChamber,Dark Underwater Ambient,"Creepy, Oceanic, Underwater, Productive"
11,https://www.youtube.com/watch?v=XpLrup719fs&ab_channel=CatTrumpet,Celestial White Noise,"Interstellar, Calm, In-the-zone, Consistent, Minimal, Quiet"
12,https://www.youtube.com/watch?v=AM-iv51sX1k&ab_channel=GamingAmbience,Mirror's Edge Pirandello Kruger,"Gamer, Productive, Fast-paced, Energized, In-the-zone, Alive, Lively, Electronic"
13,https://www.youtube.com/watch?v=RaXmMGmq-Vk&ab_channel=GamingAmbience,Mass Effect 3 Norrmandy Captain's Cabin,"Gamer, Interstellar, Calm, Minimal, Chill, Quiet"
14,https://www.youtube.com/watch?v=yzDhBxVtnf0&ab_channel=GamingAmbience,Mass Effect Andromeda Elaaden,"Gamer, Natural, Windy, Quiet, Minimal, Environmental, Electronic, Calm"
